tower,income_adjusted,st_xmin,st_ymin,st_xmax,st_ymax
1749,poor,4366504.82526945,-760118.991195721,4368244.79526945,-758379.021195721
1766,poor,4366818.11792861,-763431.715877313,4368558.08792862,-761691.745877313
1806,poor,4367877.37817575,-768080.839236825,4369617.34817575,-766340.869236825
1790,poor,4367372.83381382,-763639.012563844,4369112.80381383,-761899.042563844
1961,poor,4371263.08933922,-772752.314111617,4373003.05933922,-771012.344111617
1978,wealthy,4371446.40085723,-759539.936243494,4373186.37085723,-757799.966243494
1820,average,4368372.20970536,-762513.356032223,4370112.17970536,-760773.386032223
1533,average,4359134.31700357,-769976.657099583,4360874.28700357,-768236.687099583
1894,average,4369798.21630296,-767345.489227536,4371538.18630296,-765605.519227536
1574,average,4361777.41126291,-770133.040849342,4363517.38126291,-768393.070849342
1560,average,4360767.28219002,-745740.080957223,4362507.25219002,-744000.110957223
1562,average,4360720.06760081,-763498.051021668,4362460.03760081,-761758.081021668
1572,average,4361523.00973002,-759274.205577038,4363262.97973002,-757534.235577038
1563,average,4361144.52369758,-761560.151093161,4362884.49369758,-759820.181093161
1568,average,4361334.07522293,-757626.386878243,4363074.04522293,-755886.416878243
1823,average,4368334.55222256,-757846.559357995,4370074.52222256,-756106.589357995
1394,poor,4346527.12216626,-757420.03968762,4348267.09216626,-755680.06968762
1832,poor,4368734.4608104,-774797.951281618,4370474.4308104,-773057.981281618
1794,poor,4367470.26953783,-760378.74905879,4369210.23953783,-758638.77905879
2084,average,4377358.06339167,-760938.254498141,4379098.03339167,-759198.284498141
1755,average,4366605.90699115,-757540.34198129,4368345.87699115,-755800.37198129
1745,average,4366382.77948556,-757937.41504182,4368122.74948556,-756197.44504182
1609,average,4362873.96346395,-763262.750302015,4364613.93346395,-761522.780302015
1891,poor,4369811.12109564,-762087.687266431,4371551.09109564,-760347.717266431
1836,poor,4368395.83706356,-771633.089532775,4370135.80706356,-769893.119532775
1824,poor,4368400.09733393,-766089.584127992,4370140.06733393,-764349.614127992
1876,poor,4369480.27478621,-768529.296946866,4371220.24478622,-766789.326946866
1760,poor,4366497.53981492,-769247.597034593,4368237.50981492,-767507.627034593
1722,poor,4365613.99053464,-759784.058734081,4367353.96053465,-758044.088734081
1687,poor,4364834.45871398,-770376.472198405,4366574.42871398,-768636.502198405
1952,poor,4370905.51272653,-767566.905363916,4372645.48272653,-765826.935363916
1613,wealthy,4362969.86342196,-759524.774215103,4364709.83342196,-757784.804215103
1561,wealthy,4360734.32312625,-758772.041258802,4362474.29312625,-757032.071258802
1934,wealthy,4370836.5792516,-765592.830740112,4372576.5492516,-763852.860740112
1638,wealthy,4363631.55155655,-759572.194152619,4365371.52155655,-757832.224152619
1571,wealthy,4361481.67879744,-758313.224017624,4363221.64879744,-756573.254017624
1721,poor,4365732.21070406,-763461.357748141,4367472.18070406,-761721.387748141
1529,poor,4358792.2585964,-767877.078184732,4360532.2285964,-766137.108184732
1737,poor,4366236.77106872,-755491.855833637,4367976.74106872,-753751.885833637
1767,poor,4366956.46592016,-771815.213764388,4368696.43592016,-770075.243764388
1700,poor,4365259.4660989,-768132.646010032,4366999.4360989,-766392.676010032
1851,poor,4368986.69043716,-757585.088875211,4370726.66043716,-755845.118875211
1540,poor,4359322.06870173,-768816.04117182,4361062.03870173,-767076.071171821
1503,poor,4357141.81564875,-770959.681970304,4358881.78564875,-769219.711970304
1774,poor,4366941.89150448,-758222.075612321,4368681.86150448,-756482.105612321
1600,poor,4362581.51092282,-761759.284720852,4364321.48092283,-760019.314720852
1387,poor,4344557.43643029,-758822.019944973,4346297.4064303,-757082.049944973
2096,average,4381285.50463269,-765034.857836191,4383025.47463269,-763294.887836191
1735,average,4366013.83781389,-768699.322304868,4367753.80781389,-766959.352304868
1460,average,4354021.93962366,-755603.083104411,4355761.90962366,-753863.113104411
1552,average,4360399.04931888,-770120.988931735,4362139.01931888,-768381.018931735
1821,average,4368396.10462507,-760085.347274534,4370136.07462507,-758345.377274534
1723,wealthy,4367153.81565553,-749942.611559734,4368893.78565553,-748202.641559734
1878,wealthy,4369602.20083672,-760536.209171864,4371342.17083672,-758796.239171864
2037,wealthy,4372336.03840655,-760019.578480849,4374076.00840655,-758279.608480849
1729,wealthy,4365969.67410478,-758327.543774677,4367709.64410478,-756587.573774677
1874,wealthy,4369486.14826963,-757122.01955837,4371226.11826963,-755382.04955837
2093,wealthy,4382890.8960192,-757273.461124192,4384630.8660192,-755533.491124192
2080,average,4375195.64330606,-763773.319293228,4376935.61330606,-762033.349293228
1640,average,4363760.24041198,-757680.098390966,4365500.21041198,-755940.128390966
1477,average,4354359.9392477,-751647.25902672,4356099.9092477,-749907.28902672
1517,average,4358177.3056679,-756481.107802353,4359917.2756679,-754741.137802353
1804,poor,4367686.40222415,-772823.916257881,4369426.37222415,-771083.946257881
1754,poor,4366623.54548428,-759553.663137047,4368363.51548428,-757813.693137047
1524,poor,4358455.13942294,-771432.108479616,4360195.10942294,-769692.138479616
1780,poor,4367211.77815219,-761996.386056461,4368951.74815219,-760256.416056462
1830,poor,4368561.80283406,-761562.75383565,4370301.77283406,-759822.78383565
1799,poor,4367819.78121642,-761129.651174568,4369559.75121642,-759389.681174568
1986,poor,4371560.4772328,-763854.638061012,4373300.44723281,-762114.668061012
1819,poor,4368290.45608268,-769199.581634871,4370030.42608268,-767459.611634871
1739,poor,4366107.49571599,-764218.665267912,4367847.46571599,-762478.695267912
1516,poor,4358143.75983666,-754840.247864303,4359883.72983666,-753100.277864303
1893,wealthy,4369837.81213935,-762661.864763882,4371577.78213935,-760921.894763883
2087,wealthy,4378763.39936119,-773153.54052145,4380503.36936119,-771413.57052145
1953,wealthy,4371015.24764239,-762255.115068392,4372755.21764239,-760515.145068392
1492,poor,4355996.80448649,-777509.539148888,4357736.77448649,-775769.569148888
1935,poor,4370543.94496653,-773162.84142236,4372283.91496653,-771422.87142236
1582,poor,4361918.12422528,-767411.669714727,4363658.09422528,-765671.699714727
1892,poor,4369824.51336342,-773428.869560294,4371564.48336342,-771688.899560294
1850,poor,4369027.00419847,-765862.332479205,4370766.97419847,-764122.362479205
1486,poor,4355295.77990088,-768673.173756817,4357035.74990088,-766933.203756817
1484,poor,4355320.96185699,-759873.823335462,4357060.93185699,-758133.853335462
1501,poor,4357379.71557259,-750404.466371201,4359119.68557259,-748664.496371201
2036,poor,4372685.82120513,-770671.056944433,4374425.79120513,-768931.086944433
1426,poor,4351231.52821996,-753280.826518448,4352971.49821996,-751540.856518448
1979,poor,4371549.16264921,-775432.985476818,4373289.13264921,-773693.015476818
2065,poor,4373331.24859482,-775018.094356291,4375071.21859482,-773278.124356291
1840,poor,4368766.18741499,-765407.766879432,4370506.15741499,-763667.796879432
1937,wealthy,4370601.41099908,-761845.989258625,4372341.38099908,-760106.019258625
1960,wealthy,4371006.48646837,-758012.735288663,4372746.45646837,-756272.765288663
1938,average,4370802.06872219,-759030.553229756,4372542.03872219,-757290.583229756
1579,wealthy,4361322.18356624,-748065.308098782,4363062.15356624,-746325.338098782
1447,average,4352730.25654691,-740837.799508877,4354470.22654691,-739097.829508877
1585,wealthy,4361997.49604619,-765599.189666226,4363737.46604619,-763859.219666226
1570,wealthy,4361251.19915832,-766724.141860863,4362991.16915832,-764984.171860863
1438,average,4351755.81775082,-757130.954829474,4353495.78775082,-755390.984829474
1936,poor,4370931.68494807,-773151.045332884,4372671.65494807,-771411.075332884
1923,wealthy,4370564.32300171,-766841.95928339,4372304.29300171,-765101.98928339
1940,poor,4370741.0418876,-770123.570403077,4372481.0118876,-768383.600403077
1852,poor,4368960.18551554,-773684.943665289,4370700.15551554,-771944.973665289
2015,poor,4371707.80095948,-778573.831911952,4373447.77095948,-776833.861911952
1474,poor,4354886.31826506,-770172.962028968,4356626.28826506,-768432.992028968
1413,poor,4349595.22435153,-781077.841168759,4351335.19435153,-779337.871168759
1448,poor,4352832.17061849,-758719.497623691,4354572.14061849,-756979.527623691
1446,poor,4352417.88281291,-756314.210738462,4354157.85281291,-754574.240738462
1455,poor,4353429.88835336,-760371.910343705,4355169.85835336,-758631.940343705
1454,poor,4352124.61394228,-736488.082893865,4353864.58394228,-734748.112893865
1534,poor,4358868.24982237,-742561.694548884,4360608.21982237,-740821.724548884
1601,poor,4362777.69510105,-770816.176691444,4364517.66510105,-769076.206691444
1813,poor,4368182.97128205,-760657.450812391,4369922.94128205,-758917.480812391
1541,wealthy,4359470.97484553,-758782.428146567,4361210.94484553,-757042.458146567
1977,wealthy,4371391.57941533,-762126.321325376,4373131.54941533,-760386.351325376
1514,wealthy,4357481.11409289,-745939.086435798,4359221.08409289,-744199.116435798
1542,average,4359638.00070415,-761340.222285983,4361377.97070415,-759600.252285983
1539,average,4359514.05712545,-771449.911580051,4361254.02712545,-769709.941580051
2077,average,4375390.28845403,-767204.243563134,4377130.25845403,-765464.273563134
1788,poor,4367435.01658896,-770289.537584124,4369174.98658896,-768549.567584124
1403,average,4348535.34946895,-754807.909565435,4350275.31946895,-753067.939565435
1412,average,4349530.49570503,-759265.269307919,4351270.46570503,-757525.299307919
1400,poor,4346236.82771642,-761955.022750545,4347976.79771642,-760215.052750545
1408,poor,4349378.1868914,-756875.168551402,4351118.1568914,-755135.198551402
1866,wealthy,4369249.84096814,-756326.933439777,4370989.81096814,-754586.963439777
1861,poor,4369195.32015693,-769396.132208373,4370935.29015693,-767656.162208373
1857,poor,4369059.5510873,-767363.933502008,4370799.5210873,-765623.963502008
1650,wealthy,4364008.180951,-749483.29856988,4365748.150951,-747743.32856988
1855,wealthy,4369094.51093567,-758051.258638513,4370834.48093567,-756311.288638513
1931,poor,4370562.32954147,-763470.939607004,4372302.29954147,-761730.969607004
1756,poor,4366939.3061618,-776190.754025267,4368679.2761618,-774450.784025267
1597,average,4362498.39690884,-764710.004494697,4364238.36690884,-762970.034494697
1592,average,4361957.39061141,-746049.110936652,4363697.36061142,-744309.140936652
1599,average,4362527.79554153,-758114.784798226,4364267.76554153,-756374.814798226
1616,wealthy,4362797.14483106,-749093.674267127,4364537.11483106,-747353.704267127
1883,wealthy,4369739.8280247,-760020.251977629,4371479.7980247,-758280.281977629
1444,average,4352658.92427197,-754728.928047721,4354398.89427197,-752988.958047721
1649,average,4363957.12951026,-758529.705909529,4365697.09951026,-756789.735909529
1594,average,4361606.02285426,-753797.386423162,4363345.99285426,-752057.416423162
1713,poor,4365191.00381922,-753316.072876108,4366930.97381922,-751576.102876108
1957,poor,4371127.90328138,-767414.188535687,4372867.87328138,-765674.218535687
1988,poor,4371582.88077546,-767202.543579456,4373322.85077546,-765462.573579456
1693,poor,4364868.80061653,-752565.188643401,4366608.77061653,-750825.218643401
1591,poor,4362227.84801285,-744362.98085189,4363967.81801285,-742623.01085189
1837,poor,4368723.97802467,-759699.991708143,4370463.94802467,-757960.021708143
2081,poor,4377492.4085818,-776899.52608491,4379232.37858181,-775159.55608491
1384,poor,4342887.08614543,-761820.880570201,4344627.05614543,-760080.910570201
1436,poor,4352157.12343676,-762275.649447704,4353897.09343676,-760535.679447704
2041,wealthy,4372482.62421636,-760561.189170314,4374222.59421637,-758821.219170314
1939,average,4370738.75465515,-756777.814806612,4372478.72465515,-755037.844806612
1538,average,4358999.48371671,-743965.658756227,4360739.45371671,-742225.688756227
1603,average,4362666.1971982,-766298.821943296,4364406.1671982,-764558.851943296
1497,average,4356215.01832242,-743736.252677151,4357954.98832242,-741996.282677151
1547,poor,4359930.35495233,-769288.985118563,4361670.32495234,-767549.015118563
1827,poor,4368368.05348691,-767287.050914494,4370108.02348691,-765547.080914494
1606,poor,4362870.93839411,-758718.311635161,4364610.90839411,-756978.341635161
1695,wealthy,4365241.79858827,-748813.984638118,4366981.76858827,-747074.014638118
1709,wealthy,4365357.89577228,-756954.140794601,4367097.86577228,-755214.170794601
1676,wealthy,4364645.74437651,-750205.962476188,4366385.71437651,-748465.992476188
1680,wealthy,4364815.76526977,-757986.415456763,4366555.73526977,-756246.445456763
1610,wealthy,4362895.73601925,-747755.159893728,4364635.70601925,-746015.189893728
1608,wealthy,4362861.43565892,-764063.497063751,4364601.40565892,-762323.527063751
1589,wealthy,4361492.23142015,-755180.346414433,4363232.20142016,-753440.376414433
1602,wealthy,4362763.72335649,-754897.49333909,4364503.69335649,-753157.52333909
1659,poor,4364141.27073167,-771083.860712577,4365881.24073168,-769343.890712577
1785,poor,4367266.10661804,-761344.091998326,4369006.07661804,-759604.121998326
1456,poor,4353320.83961558,-757497.435829192,4355060.80961558,-755757.465829192
1672,average,4364527.23760077,-761877.516164965,4366267.20760078,-760137.546164965
1669,average,4364476.42212657,-763396.051506266,4366216.39212657,-761656.081506266
1666,average,4364507.32621607,-761228.804837137,4366247.29621607,-759488.834837137
1671,average,4364595.56675049,-760039.001517919,4366335.53675049,-758299.031517919
1556,average,4360683.50497429,-743949.376527239,4362423.47497429,-742209.406527239
1569,average,4361158.89115855,-764950.622008879,4362898.86115856,-763210.652008879
1567,average,4361430.53806244,-769008.962200728,4363170.50806244,-767268.992200728
1587,average,4361784.55284433,-774485.816320361,4363524.52284433,-772745.846320361
1656,wealthy,4364514.05023998,-745578.206316741,4366254.02023998,-743838.236316741
1681,wealthy,4364858.94272794,-757355.487963563,4366598.91272794,-755615.517963563
1663,wealthy,4364340.17580841,-747277.058271334,4366080.14580841,-745537.088271334
1662,wealthy,4364378.18712899,-758862.260921665,4366118.15712899,-757122.290921665
1658,wealthy,4364260.10127851,-758229.657461157,4366000.07127851,-756489.687461157
1675,poor,4364706.39352711,-764988.315791368,4366446.36352711,-763248.345791368
1657,wealthy,4364229.6288884,-762467.226070637,4365969.5988884,-760727.256070637
1682,wealthy,4364871.69005431,-758410.618711662,4366611.66005431,-756670.648711662
1573,wealthy,4361050.71044542,-756082.39792726,4362790.68044542,-754342.42792726
1584,wealthy,4361997.62690732,-757335.786028695,4363737.59690732,-755595.816028695
1661,wealthy,4364097.71736236,-756524.851244068,4365837.68736236,-754784.881244068
1678,wealthy,4364487.98876987,-751916.955554252,4366227.95876987,-750176.985554252
1665,poor,4364009.62856147,-768506.963008534,4365749.59856147,-766766.993008534
1677,poor,4365949.55424715,-779773.087946122,4367689.52424715,-778033.117946122
1668,poor,4364364.57672375,-775640.31699125,4366104.54672375,-773900.34699125
1704,wealthy,4365473.46261449,-751380.240180294,4367213.43261449,-749640.270180294
1725,average,4365910.28237824,-752608.031979105,4367650.25237824,-750868.061979105
1772,average,4367028.70250352,-760730.135646373,4368768.67250352,-758990.165646373
1982,poor,4371437.80638746,-770181.26848733,4373177.77638746,-768441.29848733
2038,wealthy,4378606.43795351,-753834.179084976,4380346.40795352,-752094.209084976
1826,wealthy,4368535.88080863,-757141.990829081,4370275.85080863,-755402.020829081
1858,wealthy,4369039.49109025,-760626.400431791,4370779.46109025,-758886.430431791
1488,wealthy,4356116.99963766,-758545.674954557,4357856.96963766,-756805.704954557
1559,wealthy,4360564.18162539,-757170.272504474,4362304.15162539,-755430.302504474
1564,poor,4361240.46159288,-760239.323614131,4362980.43159288,-758499.353614131
1784,wealthy,4367951.77344146,-753462.042369217,4369691.74344146,-751722.072369217
1588,poor,4361877.92897872,-762638.759332361,4363617.89897872,-760898.789332361
1498,wealthy,4363931.95552794,-728946.125291723,4365671.92552794,-727206.155291723
2031,wealthy,4372290.109044,-761715.744742417,4374030.079044,-759975.774742417
2117,wealthy,4402765.28913694,-757354.98720563,4404505.25913694,-755615.01720563
1632,wealthy,4363667.80566663,-754506.924810638,4365407.77566663,-752766.954810638
1586,poor,4362066.95788404,-758542.166575998,4363806.92788404,-756802.196575998
1558,poor,4360604.69623231,-771786.793908122,4362344.66623231,-770046.823908122
1691,wealthy,4365111.46473042,-763085.117246757,4366851.43473042,-761345.147246757
1781,poor,4367139.15681173,-766659.558974071,4368879.12681173,-764919.588974071
1971,wealthy,4371303.59138457,-758148.661984047,4373043.56138457,-756408.691984047
1942,wealthy,4370825.73996465,-762372.320925887,4372565.70996465,-760632.350925887
1910,poor,4370104.15067867,-772026.757044721,4371844.12067867,-770286.787044721
1916,poor,4370377.80912291,-767503.017077757,4372117.77912291,-765763.047077757
1899,poor,4369906.63517518,-772647.519622534,4371646.60517518,-770907.549622534
1911,poor,4370299.28800116,-771428.299498004,4372039.25800116,-769688.329498004
1912,wealthy,4370253.99091725,-764856.46387965,4371993.96091725,-763116.49387965
1906,wealthy,4369984.26252234,-756638.446865055,4371724.23252234,-754898.476865055
1905,wealthy,4370021.52379933,-757125.918685356,4371761.49379933,-755385.948685356
1897,average,4369779.28494826,-759407.718936423,4371519.25494826,-757667.748936423
1900,wealthy,4369993.37731719,-758823.702017287,4371733.34731719,-757083.732017287
1918,wealthy,4370483.20798185,-757421.030133881,4372223.17798185,-755681.060133881
1898,wealthy,4369865.97965027,-760858.322593283,4371605.94965027,-759118.352593283
1920,wealthy,4370587.68097635,-766268.777834876,4372327.65097635,-764528.807834876
1914,wealthy,4370221.61933766,-765815.953468856,4371961.58933766,-764075.983468856
1904,wealthy,4370034.32278972,-756246.41086234,4371774.29278973,-754506.440862341
1896,average,4369903.49417604,-758081.764392818,4371643.46417604,-756341.794392818
1917,average,4370282.74069345,-762932.973594362,4372022.71069346,-761193.003594362
1901,average,4369962.44298867,-770834.232524781,4371702.41298867,-769094.262524782
1907,average,4370033.94492177,-766829.946678867,4371773.91492177,-765089.976678867
1921,average,4370483.52274877,-757932.923947992,4372223.49274877,-756192.953947992
1915,poor,4370382.534199,-759970.78234318,4372122.504199,-758230.81234318
1913,poor,4370224.19773708,-769589.390104361,4371964.16773708,-767849.420104361
1903,poor,4370018.72403,-768148.896954923,4371758.69403,-766408.926954923
1620,average,4362914.97924651,-750395.275337234,4364654.94924651,-748655.305337234
1747,wealthy,4366446.60034849,-757024.637550237,4368186.57034849,-755284.667550237
1706,wealthy,4365303.1871601,-757944.080423598,4367043.1571601,-756204.110423598
1545,average,4359613.07832891,-765015.169401717,4361353.04832891,-763275.199401717
1544,average,4359727.79126316,-757424.932372807,4361467.76126316,-755684.962372807
1546,average,4359917.51995237,-759757.936391377,4361657.48995237,-758017.966391377
1580,average,4362169.30308996,-768439.863606642,4363909.27308996,-766699.893606642
1543,poor,4359580.18126312,-767571.186146038,4361320.15126312,-765831.216146038
1623,poor,4363307.50939663,-772736.573019416,4365047.47939663,-770996.603019416
1551,poor,4360446.78486713,-768746.049834008,4362186.75486713,-767006.079834008
1773,poor,4367061.37513192,-759215.400553157,4368801.34513192,-757475.430553157
1764,wealthy,4366483.24235322,-754560.531220245,4368223.21235322,-752820.561220245
1655,wealthy,4367268.49106271,-742954.454819235,4369008.46106271,-741214.484819236
1748,poor,4366333.75613114,-761607.699742042,4368073.72613114,-759867.729742042
1814,poor,4368034.43720236,-773897.082474966,4369774.40720236,-772157.112474966
1817,wealthy,4368366.19061827,-763301.416400345,4370106.16061827,-761561.446400345
1888,average,4369723.21440669,-766007.333052841,4371463.18440669,-764267.363052842
1890,poor,4369811.19674556,-761571.410428136,4371551.16674556,-759831.440428136
1887,poor,4369461.82865588,-776522.143826344,4371201.79865588,-774782.173826344
1889,wealthy,4369881.42919126,-755989.526147999,4371621.39919126,-754249.556147999
1895,wealthy,4369903.39959056,-763923.896612751,4371643.36959056,-762183.926612751
1485,average,4356080.05871838,-747665.580569163,4357820.02871838,-745925.610569163
2007,poor,4372210.77043095,-772592.097487169,4373950.74043095,-770852.127487169
1996,poor,4371548.92200315,-771680.270985445,4373288.89200315,-769940.300985445
2001,poor,4372146.79412041,-773623.748116426,4373886.76412041,-771883.778116426
2005,wealthy,4371797.65346886,-762479.036985884,4373537.62346887,-760739.066985884
1997,wealthy,4371610.43572644,-762212.876875281,4373350.40572644,-760472.906875281
1998,wealthy,4371672.65552343,-754656.60707804,4373412.62552343,-752916.63707804
2003,wealthy,4371928.15091802,-758777.412080849,4373668.12091802,-757037.442080849
2006,poor,4371841.32157725,-764298.325631597,4373581.29157725,-762558.355631597
1985,average,4371528.9128188,-763346.445978205,4373268.8828188,-761606.475978205
1984,wealthy,4371485.41707682,-756018.91723013,4373225.38707682,-754278.94723013
